"","x"
"1",103.56963765132
"2",90.360924062494
"3",106.885027581408
"4",108.792349134893
"5",92.5113394869774
"6",99.6085828412418
"7",82.9681080567095
"8",94.7537908643857
"9",103.774019432696
"10",86.9309822561916
"11",99.2948473069793
"12",98.6207474600608
"13",128.866683424912
"14",110.438490634676
"15",136.469519056111
"16",128.09370514249
"17",97.2977389580916
"18",92.2515447662791
"19",94.8427738010576
"20",66.3722922998467
"21",90.3912433957821
"22",100.97264049378
"23",86.6997952900675
"24",95.3643047775385
"25",102.931252181008
"26",95.0182368735458
"27",87.9343325852276
"28",95.8915290575869
"29",93.9572517096444
"30",96.1067299833835
"31",87.0271704778356
"32",80.8234130755506
"33",94.5788250740451
"34",95.2211317445305
"35",69.2753974813963
"36",114.552976010774
"37",76.5114211944445
"38",95.3320146004189
"39",109.581525101105
"40",124.121444657192
"41",102.123591181153
"42",109.695259662609
"43",107.430284811175
"44",96.8631737362519
"45",58.3418144513496
"46",108.052928472965
"47",85.8250966287321
"48",77.9087664009394
"49",68.8800229259305
"50",103.357293994093
